PAYBACK_TYPE,LMK_KEY,RECOMMENDATION_ITEM,RECOMMENDATION_CODE,RECOMMENDATION,CO2_IMPACT
MEDIUM,8384240842009042316100950100770,3,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
SHORT,8384240842009042316100950100770,1,OM15,"It is recommended that energy management techniques are be introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",MEDIUM
SHORT,8384240842009042316100950100770,2,BF1,Consider introducing or improving loft insulation.,MEDIUM
SHORT,8384240842009042316100950100770,3,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",LOW
SHORT,8384240842009042316100950100770,4,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",LOW
SHORT,8384240842009042316100950100770,5,X20,Consider a programme of fitting energy meters to kitchen facilities as part of the serving and maintenance regime.,LOW
LONG,19720990002011051713445863000950,1,AE9,Consider a Combined Heating and Power (CHP) system as an alternative to conventional boilers.,HIGH
LONG,19720990002011051713445863000950,2,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",MEDIUM
LONG,19720990002011051713445863000950,3,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",MEDIUM
LONG,19720990002011051713445863000950,4,AE1,Consider installing building mounted wind turbine(s).,MEDIUM
LONG,19720990002011051713445863000950,5,AE4,Consider installing building mounted photovoltaic electricity generating panels.,MEDIUM
MEDIUM,19720990002011051713445863000950,1,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce unwanted solar gain.,LOW
SHORT,19720990002011051713445863000950,1,CON10,Seek to minimise simultaneous operation of heating and cooling systems.,MEDIUM
SHORT,19720990002011051713445863000950,2,CON17,Consider installing timer controls to energy consuming plant and equipment and adjust to suit current building occupancy.,MEDIUM
SHORT,19720990002011051713445863000950,3,X26,Review the air conditioning energy performance report and seek to implement any outstanding recommendations for action.,LOW
LONG,9867149952015091113433503009787,1,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",LOW
LONG,9867149952015091113433503009787,2,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",LOW
LONG,9867149952015091113433503009787,3,AE3,Consider installing building mounted solar water heating.,MEDIUM
MEDIUM,9867149952015091113433503009787,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
MEDIUM,9867149952015091113433503009787,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
MEDIUM,9867149952015091113433503009787,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
SHORT,9867149952015091113433503009787,1,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",MEDIUM
SHORT,9867149952015091113433503009787,2,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",LOW
SHORT,9867149952015091113433503009787,3,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
SHORT,9867149952015091113433503009787,4,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",LOW
SHORT,9867149952015091113433503009787,5,CON18,Consider upgrading major time controls to include optimum start/stop.,HIGH
SHORT,9867149952015091113433503009787,6,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,LOW
SHORT,9867149952015091113433503009787,7,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,MEDIUM
SHORT,9867149952015091113433503009787,8,V10,Consider with experts whether it would be worthwhile installing variable speed fans and volume control devices to the ventilation system.,MEDIUM
LONG,12249241052011052516063703009533,1,AE6,Consider installing a ground source heat pump.,HIGH
LONG,12249241052011052516063703009533,2,AE3,Consider installing building mounted solar water heating.,HIGH
LONG,12249241052011052516063703009533,3,BF8,Consider constructing draught lobbies to reduce unwanted air infiltration.,MEDIUM
LONG,12249241052011052516063703009533,4,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",MEDIUM
LONG,12249241052011052516063703009533,5,X7,Engage experts to review overall ventilation strategy and propose an investment programme for upgrading and/or switching to alternative solutions to improve effectiveness and energy efficiency.,MEDIUM
MEDIUM,12249241052011052516063703009533,1,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce unwanted solar gain.,MEDIUM
MEDIUM,12249241052011052516063703009533,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
MEDIUM,12249241052011052516063703009533,3,P3,Consider with experts the benefits of installing a heat recovery system to pool water and pool hall heating.,LOW
MEDIUM,12249241052011052516063703009533,4,BF4,Consider fitting secondary glazing and/or under glaze sky lights where appropriate.,LOW
SHORT,12249241052011052516063703009533,1,SP24,Enable power save settings and power down management on computers and associated equipment.,HIGH
SHORT,12249241052011052516063703009533,2,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",MEDIUM
SHORT,12249241052011052516063703009533,3,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,MEDIUM
SHORT,12249241052011052516063703009533,4,CA23,"Ensure catering equipment such as large ovens and dishwashers are utilised at maximum capacity, and/or install smaller capacity appliances to increase operational flexibility.",MEDIUM
SHORT,12249241052011052516063703009533,5,BF6,"Consider how building fabric airtightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys etc.",MEDIUM
SHORT,12249241052011052516063703009533,6,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,MEDIUM
SHORT,12249241052011052516063703009533,7,X20,Consider a programme of fitting energy meters to kitchen facilities as part of the service and maintenance regime.,LOW
SHORT,12249241052011052516063703009533,8,HW20,Consider fitting 24hour/7day time controls onto electric HWS cylinders.,LOW
LONG,11966340962011120520430663990610,1,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",MEDIUM
LONG,11966340962011120520430663990610,2,BF3,Consider replacing or improving glazing.,MEDIUM
LONG,11966340962011120520430663990610,3,AE9,Consider a Combined Heating and Power (CHP) system as an alternative to conventional boilers.,HIGH
MEDIUM,11966340962011120520430663990610,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,LOW
MEDIUM,11966340962011120520430663990610,2,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
MEDIUM,11966340962011120520430663990610,3,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
OTHER,11966340962011120520430663990610,1,None,"Nominate an energy champion to monitor energy usage on a regular basis.  Champions can be anyone a?? all it really takes is commitment and enthusiasm.  Ita??s more about the desire to further the whole energy issue rather than having any particular skill or great knowledge and in any case, much of the know-how that champions need they can probably pick up along the way.",LOW
OTHER,11966340962011120520430663990610,2,None,Consider changing fluorescent lighting fittings throughout the building for more efficient type and/or replacing existing tubes with tri-phosphor tubes that have double the life of standard tubes.,MEDIUM
OTHER,11966340962011120520430663990610,3,None,Consider extending the provision of occupancy sensors to lighting system in all rooms to enable lighting to be turned off when areas are unoccupied.,MEDIUM
OTHER,11966340962011120520430663990610,4,None,Consider daylight control to lighting system to rooms with good daylight penetration.,MEDIUM
OTHER,11966340962011120520430663990610,5,None,Consider fitting high-speed vehicle doors to entry/exit point(s) to ensure maximum amount of heating is retained within the building.  Alternatively consider using clear plastic curtains on vehicle entrance/exit points to reduce lost heat through vehicle movements and retain it within the building.,MEDIUM
OTHER,11966340962011120520430663990610,6,None,Consider carrying out a thermo-graphic survey of the entire building to identify any heat loss areas.  Also consider adding additional insulation to the underside of the roof to reduce the heat loss through the un-insulated roofing panes,MEDIUM
OTHER,11966340962011120520430663990610,7,None,Consider installing high efficiency a??bladea?? type hand dryers for improved hand drying within the toilets.,LOW
OTHER,11966340962011120520430663990610,8,None,"Ensure TRVa??s are not set to maximum (5), lower setting (2-3) to prevent wasting energy and replace missing TRV heads.",LOW
OTHER,11966340962011120520430663990610,9,None,Consider relocating Warehouse Unit heating thermostat into the conditioned part of the building.  During the inspection it was found that the thermostat is located within an unheated corridor.,MEDIUM
SHORT,11966340962011120520430663990610,1,OM15,"It is recommended that energy management techniques are introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",LOW
SHORT,11966340962011120520430663990610,2,X12,Clean windows and roof lights to maximise daylight entering building and reduce the need for artificial lighting.,LOW
SHORT,11966340962011120520430663990610,3,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",LOW
SHORT,11966340962011120520430663990610,4,BF20,Consider installing high speed shutter doors to loading bays.,MEDIUM
SHORT,11966340962011120520430663990610,5,BF16,Consider installing automatic closers to loading bay goods doors or shutters.,MEDIUM
SHORT,11966340962011120520430663990610,6,X25,"Consider introducing a system of regular checks of Heating, Ventilation and Air Conditioning (HVAC) time and temperature settings and provisions to prevent unauthorised adjustment.",MEDIUM
SHORT,11966340962011120520430663990610,7,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,LOW
LONG,8546000302016012809123429100990,1,AE4,Consider installing building mounted photovoltaic electricity generating panels.,LOW
MEDIUM,8546000302016012809123429100990,1,BF9,Consider introducing/improving cavity wall insulation.,LOW
MEDIUM,8546000302016012809123429100990,2,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce unwanted solar gain.,LOW
SHORT,8546000302016012809123429100990,1,CON10,Seek to minimise simultaneous operation of heating and cooling systems.,LOW
SHORT,8546000302016012809123429100990,2,X26,Review the air conditioning energy performance report and seek to implement any outstanding recommendations for action.,LOW
SHORT,8546000302016012809123429100990,3,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
SHORT,8546000302016012809123429100990,4,SP24,Enable power save settings and power down management on computers and associated equipment.,LOW
LONG,5094400922009032019500256000910,1,BF3,Consider replacing or improving glazing.,HIGH
LONG,5094400922009032019500256000910,2,X5,Engage experts to review overall heating strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,HIGH
LONG,5094400922009032019500256000910,3,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaries and their control systems and an implementation plan.",HIGH
LONG,5094400922009032019500256000910,4,AE5,Consider heating the building using biomass boiler(s).,HIGH
LONG,5094400922009032019500256000910,5,AE3,Consider installing building mounted solar water heating.,HIGH
MEDIUM,5094400922009032019500256000910,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,HIGH
MEDIUM,5094400922009032019500256000910,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,HIGH
OTHER,5094400922009032019500256000910,1,None,Consider implementing an automatic monitoring and targeting energy management system,HIGH
SHORT,5094400922009032019500256000910,1,OM15,"It is recommended that energy management techniques are be introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",HIGH
SHORT,5094400922009032019500256000910,2,BF1,Consider introducing or improving loft insulation.,HIGH
SHORT,5094400922009032019500256000910,3,HW20,Consider fitting 24hour/7day time controls onto electric HWS cylinders.,HIGH
SHORT,5094400922009032019500256000910,4,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,HIGH
LONG,7087540962008121811380207920620,1,X5,Engage experts to review overall heating strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,MEDIUM
LONG,7087540962008121811380207920620,2,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",MEDIUM
LONG,7087540962008121811380207920620,3,AC23,Engage experts to review overall air conditioning strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,MEDIUM
LONG,7087540962008121811380207920620,4,HS17,If stratification occurs consider re-circulating the air during heating.,LOW
MEDIUM,7087540962008121811380207920620,1,HS2,Consider replacing heating boiler plant with a condensing type,HIGH
MEDIUM,7087540962008121811380207920620,2,BF1,Consider introducing or improving loft insulation,MEDIUM
MEDIUM,7087540962008121811380207920620,3,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,MEDIUM
MEDIUM,7087540962008121811380207920620,4,X5,Engage experts to review overall heating strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,MEDIUM
MEDIUM,7087540962008121811380207920620,5,AC9,Engage experts to assess condensers' location and cleansing regime and propose recommendations to improve effectiveness and energy efficiency.,MEDIUM
MEDIUM,7087540962008121811380207920620,6,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
MEDIUM,7087540962008121811380207920620,7,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air-tightness and thermography tests for insulation continuity,MEDIUM
MEDIUM,7087540962008121811380207920620,8,LE1,"Consider engaging experts to review current lift and escalator provisions and propose upgrades, replacements or alternative solutions that improve service effectiveness and energy efficiency.",LOW
SHORT,7087540962008121811380207920620,1,HW20,Consider fitting 24hour/7day time controls onto electric HWS cylinders,HIGH
SHORT,7087540962008121811380207920620,10,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,LOW
SHORT,7087540962008121811380207920620,11,AC12,Engage experts to survey the air conditioning systems and propose remedial works to improve condition and operating efficiency.,LOW
SHORT,7087540962008121811380207920620,2,X25,"Consider introducing a system of regular checks of Heating, Ventilation and Air Conditioning (HVAC) time and temperature settings and provisions to prevent unauthorised adjustment.",MEDIUM
SHORT,7087540962008121811380207920620,3,X4,Review staffing arrangements and set up formal systems for delegating authority for Building Energy Management System alterations and/or temporary overrides.,MEDIUM
SHORT,7087540962008121811380207920620,4,CON2,Engage experts to review the HVAC control systems settings and propose alterations and/or upgrades and adjust to suit current occupancy patterns.,MEDIUM
SHORT,7087540962008121811380207920620,5,X10,Engage experts to propose and set up an air conditioning servicing and maintenance regime and implement it.,MEDIUM
SHORT,7087540962008121811380207920620,6,SP24,Enable power save settings and power down management on computers and associated equipment.,MEDIUM
SHORT,7087540962008121811380207920620,7,X9,Engage experts to assess the air conditioning systems in accordance with CIBSE TM 44.  (This could be an appropriate opportunity to engage an accredited energy Assessor to undertake an inspection in compliance with the EPC Regulations SI 2007/991 as amended.),LOW
SHORT,7087540962008121811380207920620,8,X12,Clean windows and roof lights to maximise daylight entering building and reduce the need for artificial lighting,LOW
SHORT,7087540962008121811380207920620,9,X16,Consider a programme of fitting energy meters to lifts an escalators as part of the serving and maintenance regime.,LOW
SHORT,10471545912015091616212303009269,7,X16,Consider a programme of fitting energy meters to lifts and escalators as part of the service and maintenance regime.,MEDIUM
SHORT,10471545912015091616212303009269,8,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,LOW
SHORT,10471545912015091616212303009269,9,HS17,If stratification occurs consider re-circulating the air during heating.,LOW
LONG,10471545912015091616212303009269,1,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",LOW
LONG,10471545912015091616212303009269,2,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",LOW
LONG,10471545912015091616212303009269,3,AE3,Consider installing building mounted solar water heating.,MEDIUM
MEDIUM,10471545912015091616212303009269,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
MEDIUM,10471545912015091616212303009269,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
MEDIUM,10471545912015091616212303009269,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
OTHER,10471545912015091616212303009269,1,None,Insulaiton to boilers poor and heat loss unnecessailry high,LOW
OTHER,10471545912015091616212303009269,2,None,"Consider replacing, T12/T8 lamps with T5 and/or led",LOW
OTHER,10471545912015091616212303009269,3,None,Weather compensation valves could not be located,MEDIUM
OTHER,10471545912015091616212303009269,4,None,Fan convectors in the library are located behind desks.  Improved outlets will improve performance and control,LOW
OTHER,10471545912015091616212303009269,5,None,Provide trvs to radiators,MEDIUM
OTHER,10471545912015091616212303009269,6,None,Review insulation in roof,HIGH
OTHER,10471545912015091616212303009269,7,None,Guidance in the use of natural ventilation openings would assist in comfort and economy,MEDIUM
OTHER,10471545912015091616212303009269,8,None,Flap control of perimeter convectors poor.  Provide improved control,LOW
SHORT,10471545912015091616212303009269,1,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",MEDIUM
SHORT,10471545912015091616212303009269,10,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,MEDIUM
SHORT,10471545912015091616212303009269,2,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",LOW
SHORT,10471545912015091616212303009269,3,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",MEDIUM
SHORT,10471545912015091616212303009269,4,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",LOW
SHORT,10471545912015091616212303009269,5,CON18,Consider upgrading major time controls to include optimum start/stop.,HIGH
SHORT,10471545912015091616212303009269,6,AC23,Engage experts to review overall air conditioning strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,LOW
SHORT,9281448952015090715423701009191,1,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,MEDIUM
LONG,9281448952015090715423701009191,1,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",LOW
LONG,9281448952015090715423701009191,2,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",LOW
LONG,9281448952015090715423701009191,3,AE3,Consider installing building mounted solar water heating.,MEDIUM
LONG,9281448952015090715423701009191,4,BF2,Consider introducing or improving insulation of flat roofs.,MEDIUM
LONG,9281448952015090715423701009191,5,X5,Engage experts to review overall heating strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,MEDIUM
MEDIUM,9281448952015090715423701009191,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,MEDIUM
MEDIUM,9281448952015090715423701009191,2,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
MEDIUM,9281448952015090715423701009191,3,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,MEDIUM
MEDIUM,9281448952015090715423701009191,4,BF10,Consider introducing or improving wall insulation (internal lining) to solid single skin structures.,LOW
OTHER,9281448952015090715423701009191,1,None,"Original single glazing, consider use of removable secondary double glazing to reduce winter losses and remove for summer to improve ventilation",HIGH
OTHER,9281448952015090715423701009191,10,None,Bypass fume cupboards left running.  Consider variable flow type and switching 'off' when not in use,LOW
OTHER,9281448952015090715423701009191,2,None,Temperature sensor for each floor is in the corridor.  An average of three sensors will provide less sensitive control,HIGH
OTHER,9281448952015090715423701009191,3,None,The piping in the boiler house suggests inadequate zones are provided.  Consider upgrading the controls to multi-zone control,HIGH
OTHER,9281448952015090715423701009191,4,None,Bypass type fume cupboards being used as storage.  Consider variable flow types and ventilated storage cupboards,MEDIUM
OTHER,9281448952015090715423701009191,5,None,Consider use of two port controls along with variable speed pumps to reduce pumping energy,MEDIUM
OTHER,9281448952015090715423701009191,6,None,Provide lobby or rotating door to entrance,LOW
OTHER,9281448952015090715423701009191,7,None,Lighting controls do not allow for separate perimeter lighting to reflect the use of daylight.,LOW
OTHER,9281448952015090715423701009191,8,None,"Large number of refrigerators, consider use of central plant and remote condensers",MEDIUM
OTHER,9281448952015090715423701009191,9,None,T8 lighting may be improved by use of T5 and leds,MEDIUM
SHORT,9281448952015090715423701009191,2,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
SHORT,9281448952015090715423701009191,3,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",MEDIUM
SHORT,9281448952015090715423701009191,4,CON23,"Consider fitting zone controls to reduce over and under heating where structure, orientation, occupation or emitters have different characteristics.",LOW
SHORT,9281448952015090715423701009191,5,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",HIGH
SHORT,9281448952015090715423701009191,6,CON18,Consider upgrading major time controls to include optimum start/stop.,LOW
SHORT,9281448952015090715423701009191,7,HW20,Consider fitting 24 hour/7 day time controls onto electric HWS cylinders.,MEDIUM
SHORT,9281448952015090715423701009191,8,CON15,Consider installing weather compensator controls on heating and cooling systems.,HIGH
LONG,119997600062017031613100725970623,1,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",MEDIUM
LONG,119997600062017031613100725970623,2,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",LOW
LONG,119997600062017031613100725970623,3,X1,The current metering provisions do not enable production of a specific and reasonably accurate Operational Rating for this building.  It is recommended that meters be installed and a regime of recording data be put in place.  CIBSE TM 39 gives guidance on this.,LOW
LONG,119997600062017031613100725970623,4,BF12,Consider introducing or improving ground or exposed floor insulation.,LOW
LONG,119997600062017031613100725970623,5,AE4,Consider installing building mounted photovoltaic electricity generating panels.,LOW
MEDIUM,119997600062017031613100725970623,1,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,LOW
MEDIUM,119997600062017031613100725970623,2,BF9,Consider introducing orimproving cavity wall insulation.,MEDIUM
MEDIUM,119997600062017031613100725970623,3,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,LOW
MEDIUM,119997600062017031613100725970623,4,BF22,Consider engaging experts to review the condition of the building fabric and propose measures to improve energy performance.  This might include building pressure tests for air tightness and thermography tests for insulation continuity.,LOW
SHORT,119997600062017031613100725970623,1,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,HIGH
SHORT,119997600062017031613100725970623,10,BF6,"Consider how building fabric air tightness could be improved, for example sealing, draught stripping and closing off unused ventilation openings, chimneys.",LOW
SHORT,119997600062017031613100725970623,11,BF1,Consider introducing or improving loft insulation.,MEDIUM
SHORT,119997600062017031613100725970623,2,X20,Consider a programme of fitting energy meters to kitchen facilities as part of the service and maintenance regime.,LOW
SHORT,119997600062017031613100725970623,3,CA11,"Consider how catering refrigerators can be relocated away or thermally isolated from sources of heat such as ovens, dishwashers etc.",LOW
SHORT,119997600062017031613100725970623,4,X11,Consider implementing a programme of planned lighting systems maintenance to maintain effectiveness and energy efficiency.,HIGH
SHORT,119997600062017031613100725970623,5,X28,Consider with chefs and kitchen managers implementing a training programme and monitoring systems with incentives.,MEDIUM
SHORT,119997600062017031613100725970623,6,X27,"Consider with chefs and kitchens managers implementing an energy efficiency plan including maintenance and servicing provisions and operational targets, monitoring and incentives.",MEDIUM
SHORT,119997600062017031613100725970623,7,CA23,"Ensure catering equipment such as large ovens and dishwashers are utilised at maximum capacity, and/or install smaller capacity appliances to increase operational flexibility.",MEDIUM
SHORT,119997600062017031613100725970623,8,CA24,Consider installing heat recovery to catering refrigeration condensers in order to aid with HWS generation or to heat room air.,LOW
SHORT,119997600062017031613100725970623,9,OM15,"It is recommended that energy management techniques are introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",MEDIUM
SHORT,92263890062016101214594426910790,4,CON15,Consider installing weather compensator controls on heating and cooling systems.,MEDIUM
LONG,92263890062016101214594426910790,1,X5,Engage experts to review overall heating strategy and propose an investment programme for upgrading and/or switching to alternative solutions.,HIGH
LONG,92263890062016101214594426910790,2,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaires and their control systems and an implementation plan.",MEDIUM
LONG,92263890062016101214594426910790,3,X14,"Engage experts to review the HWS systems provisions and propose remedial works, upgrades and/or alternative provisions to improve effectiveness and efficiency and plan for implementation.",MEDIUM
MEDIUM,92263890062016101214594426910790,1,BF5,Consider applying reflective coating to windows and/or fit shading devices to reduce unwanted solar gain.,MEDIUM
MEDIUM,92263890062016101214594426910790,2,X3,Consider implementing regular inspections of the building fabric to check on the condition of insulation and sealing measures and removal of accidental ventilation paths.,HIGH
MEDIUM,92263890062016101214594426910790,3,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
SHORT,92263890062016101214594426910790,1,X24,Boiler plant should be regularly tested and adjusted by experts for optimum operating efficiency.,MEDIUM
SHORT,92263890062016101214594426910790,2,X15,"Consider engaging with building users to economise equipment energy consumption with targets, guidance on their achievement and incentives.",LOW
SHORT,92263890062016101214594426910790,3,SP3,Consider installing automated controls and monitoring systems to electrical equipment and portable appliances to minimise electricity waste.,LOW
SHORT,92263890062016101214594426910790,5,SP24,Enable power save settings and power down management on computers and associated equipment.,LOW
SHORT,92263890062016101214594426910790,6,OM15,"It is recommended that energy management techniques are introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",LOW
SHORT,92263890062016101214594426910790,7,CON20,"Consider introducing variable speed drives (VSD) for fans, pumps and compressors.",MEDIUM
SHORT,92263890062016101214594426910790,8,CON18,Consider upgrading major time controls to include optimum start/stop.,MEDIUM
SHORT,92263890062016101214594426910790,9,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,LOW
LONG,11966340022009022108091263090910,1,BF3,Consider replacing or improving glazing.,MEDIUM
LONG,11966340022009022108091263090910,2,X13,"Engage experts to review the building lighting strategies and propose alterations and/or upgrades to daylighting provisions, luminaries and their control systems and an implementation plan.",MEDIUM
MEDIUM,11966340022009022108091263090910,1,HW19,Engage experts to propose specific measures to reduce hot water wastage and plan to carry this out.,MEDIUM
MEDIUM,11966340022009022108091263090910,2,BF9,Consider introducing/improving cavity wall insulation.,LOW
MEDIUM,11966340022009022108091263090910,3,HS18,Consider installing interlocks between heating systems and loading bay or vehicle access doors.,HIGH
OTHER,11966340022009022108091263090910,1,None,Appoint an energy champion and improve staff training,HIGH
OTHER,11966340022009022108091263090910,2,None,Consider fitting PIR control to fans and lights in toilets,MEDIUM
OTHER,11966340022009022108091263090910,3,None,Consider fitting CO2 sensors to fume extraction fans,MEDIUM
SHORT,11966340022009022108091263090910,1,CON17,Consider installing timer controls to energy consuming plant and equipment and adjust to suit current building occupancy.,MEDIUM
SHORT,11966340022009022108091263090910,2,SP14,Consider with experts implementation of an energy efficient equipment procurement regime that will upgrade existing equipment and renew in a planned cost-effective programme.,LOW
SHORT,11966340022009022108091263090910,3,OM15,"It is recommended that energy management techniques are be introduced.  These could include efforts to gain building users commitment to save energy, allocating responsibility for energy to a specific person (champion), setting targets and monitoring.",HIGH
SHORT,11966340022009022108091263090910,4,BF16,Consider installing automatic closers to loading bay goods doors or shutters.,MEDIUM
